conf_abbr	date	game_location	game_result	game_streak	losses	notes	opp_name	opp_points	points	school_name	ties	time_game	wins
Western	1898-11-12		W	W 8	0	Detroit, MI	Illinois	5	12	Michigan	0		8
Ind	1898-11-19		W	W 9	0		Beloit	0	22	Michigan	0		9
Western	1898-11-24	@	W	W 10	0		Chicago	11	12	Michigan	0		10
Non-Major	1899-09-30		W	W 1	0		Hillsdale	0	11	Michigan	0		1
Non-Major	1899-10-07		W	W 2	0		Albion	0	26	Michigan	0		2
Non-Major	1899-10-11		W	W 3	0		Western Reserve	0	17	Michigan	0		3
Ind	1899-10-18		W	W 4	0		Notre Dame	0	12	Michigan	0		4
Western	1899-10-28	@	W	W 5	0		Illinois	0	5	Michigan	0		5
Non-Major	1899-11-04		W	W 6	0	Detroit, MI	Virginia	0	38	Michigan	0		6
Ind	1899-11-11	@	L	L 1	1		Pennsylvania	11	10	Michigan	0		6
Non-Major	1899-11-18		W	W 1	1		Case	6	28	Michigan	0		7
Non-Major	1899-11-25		W	W 2	1		Kalamazoo	9	24	Michigan	0		8
Western	1899-11-30	N	L	L 1	2	Chicago, IL	Wisconsin	17	5	Michigan	0		8
Non-Major	1900-09-29		W	W 1	0		Hillsdale	0	29	Michigan	0		1
Non-Major	1900-10-06		W	W 2	0		Kalamazoo	0	11	Michigan	0		2
Non-Major	1900-10-13		W	W 3	0		Case	6	24	Michigan	0		3
Western	1900-10-20		W	W 4	0		Purdue	6	11	Michigan	0		4
Western	1900-10-27	@	W	W 5	0	Chicago, IL	Illinois	0	12	Michigan	0		5
Western	1900-11-03		W	W 6	0		Indiana	0	12	Michigan	0		6
Western	1900-11-10		L	L 1	1	Detroit, MI	Iowa	28	5	Michigan	0		6
Ind	1900-11-17		W	W 1	1		Notre Dame	0	7	Michigan	0		7
Non-Major	1900-11-24		T	T 1	1		Ohio State	0	0	Michigan	1		7
Western	1900-11-29	@	L	L 1	2		Chicago	15	6	Michigan	1		7
Non-Major	1901-09-28		W	W 1	0		Albion	0	50	Michigan	0		1
Non-Major	1901-10-05		W	W 2	0		Case	0	57	Michigan	0		2
Western	1901-10-12		W	W 3	0		Indiana	0	33	Michigan	0		3
Western	1901-10-19		W	W 4	0		Northwestern	0	29	Michigan	0		4
Non-Major	1901-10-26		W	W 5	0		Buffalo	0	128	Michigan	0		5
Ind	1901-11-02		W	W 6	0	Detroit, MI	Carlisle	0	22	Michigan	0		6
Non-Major	1901-11-09	@	W	W 7	0		Ohio State	0	21	Michigan	0		7
Western	1901-11-16		W	W 8	0		Chicago	0	22	Michigan	0		8
Ind	1901-11-23		W	W 9	0		Beloit	0	89	Michigan	0		9
Western	1901-11-28	N	W	W 10	0	Chicago, IL	Iowa	0	50	Michigan	0		10
Non-Major	1902-01-01	N	W	W 11	0	Rose Bowl (Rose Bowl (Pasadena, CA))	Stanford	0	49	Michigan	0		11
Non-Major	1902-09-27		W	W 1	0		Albion	0	88	Michigan	0		1
Non-Major	1902-10-04		W	W 2	0		Case	6	48	Michigan	0		2
Non-Major	1902-10-08		W	W 3	0		Michigan State	0	119	Michigan	0		3
Western	1902-10-11		W	W 4	0		Indiana	0	60	Michigan	0		4
Ind	1902-10-18	N	W	W 5	0	Toledo, OH	Notre Dame	0	23	Michigan	0		5
Non-Major	1902-10-25		W	W 6	0		Ohio State	0	86	Michigan	0		6
Western	1902-11-01	N	W	W 7	0	Chicago, IL	Wisconsin	0	6	Michigan	0		7
Western	1902-11-08		W	W 8	0		Iowa	0	107	Michigan	0		8
Western	1902-11-15	@	W	W 9	0		Chicago	0	21	Michigan	0		9
Non-Major	1902-11-22		W	W 10	0		Oberlin	0	63	Michigan	0		10
Western	1902-11-27		W	W 11	0		Minnesota	6	23	Michigan	0		11
Non-Major	1903-10-03		W	W 1	0		Case	0	31	Michigan	0		1
