conf_abbr	date	game_location	game_result	game_streak	losses	notes	opp_name	opp_points	points	school_name	ties	time_game	wins
Non-Major	1931-10-02		W	W 1	0		Central Michigan	0	27	Michigan	0		1
Non-Major	1931-10-03		W	W 2	0		Eastern Michigan	0	34	Michigan	0		2
Western	1931-10-10		W	W 3	0		Chicago	7	13	Michigan	0		3
Western	1931-10-17		L	L 1	1		Ohio State	20	7	Michigan	0		3
Western	1931-10-24	@	W	W 1	1		Illinois	0	35	Michigan	0		4
Ind	1931-10-31	@	W	W 2	1		Princeton	0	21	Michigan	0		5
Western	1931-11-07		W	W 3	1		Indiana	0	22	Michigan	0		6
Ind	1931-11-14		T	T 1	1		Michigan State	0	0	Michigan	1		6
Western	1931-11-21		W	W 1	1		Minnesota	0	6	Michigan	1		7
Western	1931-11-28		W	W 2	1		Wisconsin	0	16	Michigan	1		8
Ind	1932-10-01		W	W 1	0		Michigan State	0	26	Michigan	0		1
Western	1932-10-08		W	W 2	0		Northwestern	6	15	Michigan	0		2
Western	1932-10-15	@	W	W 3	0		Ohio State	0	14	Michigan	0		3
Western	1932-10-22		W	W 4	0		Illinois	0	32	Michigan	0		4
Ind	1932-10-29		W	W 5	0		Princeton	7	14	Michigan	0		5
Western	1932-11-05	@	W	W 6	0		Indiana	0	7	Michigan	0		6
Western	1932-11-12		W	W 7	0		Chicago	0	12	Michigan	0		7
Western	1932-11-19	@	W	W 8	0		Minnesota	0	3	Michigan	0		8
Ind	1933-10-07		W	W 1	0		Michigan State	6	20	Michigan	0		1
Ind	1933-10-14		W	W 2	0		Cornell	0	40	Michigan	0		2
Western	1933-10-21		W	W 3	0		Ohio State	0	13	Michigan	0		3
Western	1933-10-28	@	W	W 4	0		Chicago	0	28	Michigan	0		4
Western	1933-11-04	@	W	W 5	0		Illinois	6	7	Michigan	0		5
Western	1933-11-11		W	W 6	0		Iowa	6	10	Michigan	0		6
Western	1933-11-18		T	T 1	0		Minnesota	0	0	Michigan	1		6
Western	1933-11-25	@	W	W 1	0		Northwestern	0	13	Michigan	1		7
Ind	1934-10-06		L	L 1	1		Michigan State	16	0	Michigan	0		0
Western	1934-10-13	@	L	L 2	2		Chicago	27	0	Michigan	0		0
SEC	1934-10-20		W	W 1	2		Georgia Tech	2	9	Michigan	0		1
Western	1934-10-27		L	L 1	3		Illinois	7	6	Michigan	0		1
Western	1934-11-03	@	L	L 2	4		Minnesota	34	0	Michigan	0		1
Western	1934-11-10		L	L 3	5		Wisconsin	10	0	Michigan	0		1
Western	1934-11-17	@	L	L 4	6		Ohio State	34	0	Michigan	0		1
Western	1934-11-24		L	L 5	7		Northwestern	13	6	Michigan	0		1
Ind	1935-10-05		L	L 1	1		Michigan State	25	6	Michigan	0		0
Western	1935-10-12		W	W 1	1		Indiana	0	7	Michigan	0		1
Western	1935-10-19	@	W	W 2	1		Wisconsin	12	20	Michigan	0		2
Ind	1935-10-26	@	W	W 3	1		Columbia	7	19	Michigan	0		3
Ind	1935-11-02		W	W 4	1		Pennsylvania	6	16	Michigan	0		4
Western	1935-11-09	@	L	L 1	2		Illinois	3	0	Michigan	0		4
Western	1935-11-16		L	L 2	3		Minnesota	40	0	Michigan	0		4
Western	1935-11-23		L	L 3	4		Ohio State	38	0	Michigan	0		4
Ind	1936-10-03		L	L 1	1		Michigan State	21	7	Michigan	0		0
Western	1936-10-10		L	L 2	2		Indiana	14	3	Michigan	0		0
Western	1936-10-17	@	L	L 3	3		Minnesota	26	0	Michigan	0		0
Ind	1936-10-24		W	W 1	3		Columbia	0	13	Michigan	0		1
Western	1936-10-31		L	L 1	4		Illinois	9	6	Michigan	0		1
Ind	1936-11-07	@	L	L 2	5		(15) Pennsylvania	27	7	Michigan	0		1
Western	1936-11-14		L	L 3	6		(1) Northwestern	9	0	Michigan	0		1
Western	1936-11-21	@	L	L 4	7		(18) Ohio State	21	0	Michigan	0		1
Ind	1937-10-02		L	L 1	1		Michigan State	19	14	Michigan	0		0
Western	1937-10-09	@	L	L 2	2		Northwestern	7	0	Michigan	0		0
Western	1937-10-16		L	L 3	3		Minnesota	39	6	Michigan	0		0
Western	1937-10-23	@	W	W 1	3		Iowa	6	7	Michigan	0		1
Western	1937-10-30	@	W	W 2	3		Illinois	6	7	Michigan	0		2
Western	1937-11-06		W	W 3	3		Chicago	12	13	Michigan	0		3
Ind	1937-11-13	@	W	W 4	3		Pennsylvania	0	7	Michigan	0		4
Western	1937-11-20		L	L 1	4		(19) Ohio State	21	0	Michigan	0		4
Ind	1938-10-01		W	W 1	0		Michigan State	0	14	Michigan	0		1
Western	1938-10-08		W	W 2	0		Chicago	7	45	Michigan	0		2
Western	1938-10-15	@	L	L 1	1		Minnesota	7	6	Michigan	0		2
Ind	1938-10-22	@	W	W 1	1		Yale	13	15	(12) Michigan	0		3
Western	1938-10-29		W	W 2	1		Illinois	0	14	(13) Michigan	0		4
Ind	1938-11-05		W	W 3	1		Pennsylvania	13	19	(16) Michigan	0		5
Western	1938-11-12		T	T 1	1		(17) Northwestern	0	0	(18) Michigan	1		5
Western	1938-11-19	@	W	W 1	1		Ohio State	0	18	(17) Michigan	1		6
Ind	1939-10-07		W	W 1	0		Michigan State	13	26	Michigan	0		1
Western	1939-10-14		W	W 2	0		Iowa	7	27	Michigan	0		2
Western	1939-10-21	@	W	W 3	0		Chicago	0	85	(6) Michigan	0		3
Ind	1939-10-28		W	W 4	0		Yale	7	27	(3) Michigan	0		4
Western	1939-11-04	@	L	L 1	1		Illinois	16	7	(2) Michigan	0		4
Western	1939-11-11		L	L 2	2		Minnesota	20	7	(10) Michigan	0		4
Ind	1939-11-18	@	W	W 1	2		Pennsylvania	17	19	Michigan	0		5
Western	1939-11-25		W	W 2	2		(6) Ohio State	14	21	Michigan	0		6
PCC	1940-09-28	@	W	W 1	0		California	0	41	Michigan	0		1
Ind	1940-10-05		W	W 2	0		Michigan State	14	21	Michigan	0		2
Ind	1940-10-12	@	W	W 3	0		Harvard	0	26	Michigan	0		3
Western	1940-10-19		W	W 4	0		Illinois	0	28	(3) Michigan	0		4
Ind	1940-10-26		W	W 5	0		(8) Pennsylvania	0	14	(3) Michigan	0		5
Western	1940-11-09	@	L	L 1	1		(2) Minnesota	7	6	(3) Michigan	0		5
Western	1940-11-16		W	W 1	1		(10) Northwestern	13	20	(6) Michigan	0		6
Western	1940-11-23	@	W	W 2	1		Ohio State	0	40	(7) Michigan	0		7
Ind	1941-09-27		W	W 1	0		Michigan State	7	19	Michigan	0		1
Western	1941-10-04		W	W 2	0		Iowa	0	6	Michigan	0		2
Ind	1941-10-11		W	W 3	0		Pitt	0	40	Michigan	0		3
Western	1941-10-18	@	W	W 4	0		(5) Northwestern	7	14	(6) Michigan	0		4
Western	1941-10-25		L	L 1	1		(1) Minnesota	7	0	(3) Michigan	0		4
Western	1941-11-01	@	W	W 1	1		Illinois	0	20	(7) Michigan	0		5
Ind	1941-11-15	@	W	W 2	1		Columbia	0	28	(7) Michigan	0		6
Western	1941-11-22		T	T 1	1		(14) Ohio State	20	20	(5) Michigan	1		6
Ind	1942-09-26		W	W 1	0		Great Lakes Navy	0	9	Michigan	0		1
Ind	1942-10-03		W	W 2	0		Michigan State	0	20	Michigan	0		2
Ind	1942-10-10		L	L 1	1		Iowa Pre-Flight	26	14	Michigan	0		2
Western	1942-10-17		W	W 1	1		Northwestern	16	34	(3) Michigan	0		3
Western	1942-10-24	@	L	L 1	2		(13) Minnesota	16	14	(4) Michigan	0		3
Western	1942-10-31		W	W 1	2		(12) Illinois	14	28	(13) Michigan	0		4
Ind	1942-11-07		W	W 2	2		Harvard	7	35	(11) Michigan	0		5
Ind	1942-11-14	@	W	W 3	2		(4) Notre Dame	20	32	(6) Michigan	0		6
Western	1942-11-21	@	L	L 1	3		(5) Ohio State	21	7	(4) Michigan	0		6
Western	1942-11-28		W	W 1	3		Iowa	14	28	(9) Michigan	0		7
Ind	1943-09-18	@	W	W 1	0		Camp Grant	0	26	Michigan	0		1
Non-Major	1943-09-25		W	W 2	0		Western Michigan	6	57	Michigan	0		2
Western	1943-10-02	@	W	W 3	0		Northwestern	7	21	Michigan	0		3
Ind	1943-10-09		L	L 1	1		(1) Notre Dame	35	12	(2) Michigan	0		3
Western	1943-10-23		W	W 1	1		(11) Minnesota	6	49	(10) Michigan	0		4
Western	1943-10-30	@	W	W 2	1		Illinois	6	42	(7) Michigan	0		5
Western	1943-11-06		W	W 3	1		Indiana	6	23	(6) Michigan	0		6
Western	1943-11-13		W	W 4	1		Wisconsin	0	27	(4) Michigan	0		7
Western	1943-11-20		W	W 5	1		Ohio State	7	45	(4) Michigan	0		8
Ind	1944-09-16		W	W 1	0		Iowa Pre-Flight	7	12	Michigan	0		1
Ind	1944-09-23	@	W	W 2	0		Marquette	0	14	Michigan	0		2
Western	1944-09-30		L	L 1	1		Indiana	20	0	Michigan	0		2
Western	1944-10-07	@	W	W 1	1		Minnesota	13	28	Michigan	0		3
Western	1944-10-14		W	W 2	1		Northwestern	0	27	(12) Michigan	0		4
Western	1944-10-28		W	W 3	1		(10) Purdue	14	40	Michigan	0		5
Ind	1944-11-04	@	W	W 4	1		Pennsylvania	19	41	(10) Michigan	0		6
Western	1944-11-11		W	W 5	1		(10) Illinois	0	14	(8) Michigan	0		7
Western	1944-11-18		W	W 6	1		Wisconsin	0	14	(5) Michigan	0		8
Western	1944-11-25	@	L	L 1	2		(3) Ohio State	18	14	(6) Michigan	0		8
Ind	1945-09-15		W	W 1	0		Great Lakes Navy	2	27	Michigan	0		1
Western	1945-09-22		L	L 1	1		Indiana	13	7	Michigan	0		1
Ind	1945-09-29		W	W 1	1		Michigan State	0	40	Michigan	0		2
Western	1945-10-06	@	W	W 2	1		Northwestern	7	20	Michigan	0		3
Ind	1945-10-13	@	L	L 1	2	Bronx, NY	(1) Army	28	7	(9) Michigan	0		3
Western	1945-10-27	@	W	W 1	2		Illinois	0	19	(16) Michigan	0		4
Western	1945-11-03		W	W 2	2		(16) Minnesota	0	26	(10) Michigan	0		5
Ind	1945-11-10	@	L	L 1	3	Baltimore, MD	(4) Navy	33	7	(7) Michigan	0		5
Western	1945-11-17		W	W 1	3		(11) Purdue	13	27	(14) Michigan	0		6
Western	1945-11-24		W	W 2	3		(7) Ohio State	3	7	(8) Michigan	0		7
Western	1946-09-28		W	W 1	0		Indiana	0	21	Michigan	0		1
Western	1946-10-05		W	W 2	0		Iowa	7	14	Michigan	0		2
Ind	1946-10-12		L	L 1	1		(2) Army	20	13	(4) Michigan	0		2
Western	1946-10-19		T	T 1	1		(10) Northwestern	14	14	(5) Michigan	1		2
Western	1946-10-26		L	L 1	2		Illinois	13	9	(8) Michigan	1		2
Western	1946-11-02	@	W	W 1	2		Minnesota	0	21	(13) Michigan	1		3
Ind	1946-11-09		W	W 2	2		Michigan State	7	55	(11) Michigan	1		4
Western	1946-11-16		W	W 3	2		Wisconsin	6	28	(10) Michigan	1		5
Western	1946-11-23	@	W	W 4	2		Ohio State	6	58	(8) Michigan	1		6
Ind	1947-09-27		W	W 1	0		Michigan State	0	55	Michigan	0		1
PCC	1947-10-04		W	W 2	0		Stanford	13	49	Michigan	0		2
Ind	1947-10-11		W	W 3	0		Pitt	0	69	(2) Michigan	0		3
Western	1947-10-18	@	W	W 4	0		Northwestern	21	49	(1) Michigan	0		4
Western	1947-10-25		W	W 5	0		Minnesota	6	13	(1) Michigan	0		5
Western	1947-11-01	@	W	W 6	0		(11) Illinois	7	14	(2) Michigan	0		6
Western	1947-11-08		W	W 7	0		Indiana	0	35	(2) Michigan	0		7
Western	1947-11-15	@	W	W 8	0		(9) Wisconsin	6	40	(2) Michigan	0		8
Western	1947-11-22		W	W 9	0		Ohio State	0	21	(1) Michigan	0		9
PCC	1948-01-01	@	W	W 10	0	Rose Bowl (Rose Bowl (Pasadena, CA))	(8) USC	0	49	(2) Michigan	0		10
Ind	1948-09-25	@	W	W 1	0		Michigan State	7	13	Michigan	0		1
PCC	1948-10-02		W	W 2	0		Oregon	0	14	Michigan	0		2
Western	1948-10-09	@	W	W 3	0		(15) Purdue	0	40	(7) Michigan	0		3
Western	1948-10-16		W	W 4	0		(3) Northwestern	0	28	(4) Michigan	0		4
Western	1948-10-23	@	W	W 5	0		(13) Minnesota	14	27	(1) Michigan	0		5
Western	1948-10-30		W	W 6	0		Illinois	20	28	(1) Michigan	0		6
Ind	1948-11-06		W	W 7	0		Navy	0	35	(2) Michigan	0		7
Western	1948-11-13		W	W 8	0		Indiana	0	54	(1) Michigan	0		8
Western	1948-11-20	@	W	W 9	0		(18) Ohio State	3	13	(1) Michigan	0		9
Ind	1949-09-24		W	W 1	0		Michigan State	3	7	Michigan	0		1
PCC	1949-10-01	@	W	W 2	0		Stanford	7	27	Michigan	0		2
Ind	1949-10-08		L	L 1	1		(7) Army	21	7	(1) Michigan	0		2
Western	1949-10-15	@	L	L 2	2		Northwestern	21	20	(7) Michigan	0		2
Western	1949-10-22		W	W 1	2		(3) Minnesota	7	14	(12) Michigan	0		3
Western	1949-10-29	@	W	W 2	2		Illinois	0	13	(6) Michigan	0		4
Western	1949-11-05		W	W 3	2		Purdue	12	20	(5) Michigan	0		5
Western	1949-11-12		W	W 4	2		Indiana	7	20	(5) Michigan	0		6
Western	1949-11-19		T	T 1	2		(7) Ohio State	7	7	(5) Michigan	1		6
Ind	1950-09-30		L	L 1	1		(19) Michigan State	14	7	(3) Michigan	0		0
Ind	1950-10-07		W	W 1	1		Dartmouth	7	27	(19) Michigan	0		1
Ind	1950-10-14	@	L	L 1	2	Bronx, NY	(1) Army	27	6	(18) Michigan	0		1
Western	1950-10-21		W	W 1	2		(16) Wisconsin	13	26	Michigan	0		2
Western	1950-10-28	@	T	T 1	2		Minnesota	7	7	(14) Michigan	1		2
Western	1950-11-04		L	L 1	3		(10) Illinois	7	0	Michigan	1		2
Western	1950-11-11		W	W 1	3		Indiana	7	20	Michigan	1		3
Western	1950-11-18		W	W 2	3		Northwestern	23	34	Michigan	1		4
Western	1950-11-25	@	W	W 3	3		(8) Ohio State	3	9	Michigan	1		5
PCC	1951-01-01	N	W	W 4	3	Rose Bowl (Rose Bowl (Pasadena, CA))	(4) California	6	14	Michigan	1		6
Ind	1951-09-29		L	L 1	1		(2) Michigan State	25	0	(17) Michigan	0		0
PCC	1951-10-06		L	L 2	2		Stanford	23	13	Michigan	0		0
Western	1951-10-13		W	W 1	2		Indiana	14	33	Michigan	0		1
Western	1951-10-20	@	W	W 2	2		Iowa	0	21	Michigan	0		2
Western	1951-10-27		W	W 3	2		Minnesota	27	54	Michigan	0		3
Western	1951-11-03	@	L	L 1	3		(3) Illinois	7	0	(15) Michigan	0		3
Ind	1951-11-10	@	L	L 2	4		Cornell	20	7	Michigan	0		3
Western	1951-11-17		L	L 3	5		Northwestern	6	0	Michigan	0		3
Western	1951-11-24		W	W 1	5		Ohio State	0	7	Michigan	0		4
Ind	1952-09-27		L	L 1	1		(1) Michigan State	27	13	Michigan	0		0
PCC	1952-10-04	@	L	L 2	2		Stanford	14	7	Michigan	0		0
Western	1952-10-11		W	W 1	2		Indiana	13	28	Michigan	0		1
Western	1952-10-18	@	W	W 2	2		Northwestern	14	48	Michigan	0		2
Western	1952-10-25		W	W 3	2		Minnesota	0	21	(19) Michigan	0		3
Western	1952-11-01		L	L 1	3		Illinois	22	13	(15) Michigan	0		3
Ind	1952-11-08		W	W 1	3		Cornell	7	49	Michigan	0		4
Western	1952-11-15		W	W 2	3		(10) Purdue	10	21	(20) Michigan	0		5
Western	1952-11-22	@	L	L 1	4		Ohio State	27	7	(12) Michigan	0		5
PCC	1953-09-26		W	W 1	0		Washington	0	50	Michigan	0		1
SEC	1953-10-03		W	W 2	0		Tulane	7	26	(4) Michigan	0		2
Big Ten	1953-10-10		W	W 3	0		Iowa	13	14	(5) Michigan	0		3
Big Ten	1953-10-17		W	W 4	0		Northwestern	12	20	(5) Michigan	0		4
Big Ten	1953-10-24	@	L	L 1	1		Minnesota	22	0	(5) Michigan	0		4
Ind	1953-10-31		W	W 1	1		Pennsylvania	14	24	(16) Michigan	0		5
Big Ten	1953-11-07	@	L	L 1	2		(4) Illinois	19	3	(17) Michigan	0		5
Big Ten	1953-11-14	@	L	L 2	3		(4) Michigan State	14	6	Michigan	0		5
Big Ten	1953-11-21		W	W 1	3		Ohio State	0	20	Michigan	0		6
PCC	1954-09-25	@	W	W 1	0		Washington	0	14	Michigan	0		1
Ind	1954-10-02		L	L 1	1		Army	26	7	Michigan	0		1
Big Ten	1954-10-09		W	W 1	1		(4) Iowa	13	14	Michigan	0		2
Big Ten	1954-10-16	@	W	W 2	1		Northwestern	0	7	Michigan	0		3
Big Ten	1954-10-23		W	W 3	1		(8) Minnesota	0	34	Michigan	0		4
Big Ten	1954-10-30		L	L 1	2		Indiana	13	9	(11) Michigan	0		4
Big Ten	1954-11-06		W	W 1	2		Illinois	7	14	Michigan	0		5
Big Ten	1954-11-13		W	W 2	2		Michigan State	7	33	Michigan	0		6
Big Ten	1954-11-20	@	L	L 1	3		(1) Ohio State	21	7	(12) Michigan	0		6
Big 7	1955-09-24		W	W 1	0		Missouri	7	42	(4) Michigan	0		1
Big Ten	1955-10-01		W	W 2	0		Michigan State	7	14	(2) Michigan	0		2
Ind	1955-10-08		W	W 3	0		(6) Army	2	26	(2) Michigan	0		3
Big Ten	1955-10-15		W	W 4	0		Northwestern	2	14	(1) Michigan	0		4
Big Ten	1955-10-22	@	W	W 5	0		Minnesota	13	14	(1) Michigan	0		5
Big Ten	1955-10-29		W	W 6	0		Iowa	21	33	(3) Michigan	0		6
Big Ten	1955-11-05	@	L	L 1	1		Illinois	25	6	(3) Michigan	0		6
Big Ten	1955-11-12		W	W 1	1		Indiana	0	30	(7) Michigan	0		7
Big Ten	1955-11-19		L	L 1	2		(9) Ohio State	17	0	(6) Michigan	0		7
PCC	1956-09-29		W	W 1	0		UCLA	13	42	(13) Michigan	0		1
Big Ten	1956-10-06		L	L 1	1		(2) Michigan State	9	0	(5) Michigan	0		1
Ind	1956-10-13		W	W 1	1		(15) Army	14	48	(12) Michigan	0		2
Big Ten	1956-10-20		W	W 2	1		Northwestern	20	34	(8) Michigan	0		3
Big Ten	1956-10-27		L	L 1	2		Minnesota	20	7	(5) Michigan	0		3
Big Ten	1956-11-03	@	W	W 1	2		(7) Iowa	14	17	(17) Michigan	0		4
Big Ten	1956-11-10		W	W 2	2		Illinois	7	17	(10) Michigan	0		5
Big Ten	1956-11-17		W	W 3	2		Indiana	26	49	(10) Michigan	0		6
Big Ten	1956-11-24	@	W	W 4	2		(12) Ohio State	0	19	(9) Michigan	0		7
PCC	1957-09-28	@	W	W 1	0		USC	6	16	(10) Michigan	0		1
SEC	1957-10-05		W	W 2	0		Georgia	0	26	(10) Michigan	0		2
Big Ten	1957-10-12		L	L 1	1		(2) Michigan State	35	6	(6) Michigan	0		2
Big Ten	1957-10-19		W	W 1	1		Northwestern	14	34	(18) Michigan	0		3
Big Ten	1957-10-26	@	W	W 2	1		(14) Minnesota	7	24	(20) Michigan	0		4
Big Ten	1957-11-02		T	T 1	1		(3) Iowa	21	21	(12) Michigan	1		4
Big Ten	1957-11-09	@	L	L 1	2		Illinois	20	19	(11) Michigan	1		4
Big Ten	1957-11-16		W	W 1	2		Indiana	13	27	(18) Michigan	1		5
Big Ten	1957-11-23		L	L 1	3		(3) Ohio State	31	14	(19) Michigan	1		5
PCC	1958-09-27		W	W 1	0		USC	19	20	Michigan	0		1
Big Ten	1958-10-04	@	T	T 1	0		(4) Michigan State	12	12	(16) Michigan	1		1
Ind	1958-10-11		L	L 1	1		(12) Navy	20	14	(14) Michigan	1		1
Big Ten	1958-10-18	@	L	L 2	2		(17) Northwestern	55	24	(19) Michigan	1		1
Big Ten	1958-10-25		W	W 1	2		Minnesota	19	20	Michigan	1		2
Big Ten	1958-11-01		L	L 1	3		(2) Iowa	37	14	Michigan	1		2
Big Ten	1958-11-08		L	L 2	4		Illinois	21	8	Michigan	1		2
Big Ten	1958-11-15		L	L 3	5		Indiana	8	6	Michigan	1		2
Big Ten	1958-11-22	@	L	L 4	6		(11) Ohio State	20	14	Michigan	1		2
Big 7	1959-09-26		L	L 1	1		Missouri	20	15	Michigan	0		0
Big Ten	1959-10-03		L	L 2	2		Michigan State	34	8	Michigan	0		0
Ind	1959-10-10		W	W 1	2		Oregon State	7	18	Michigan	0		1
Big Ten	1959-10-17		L	L 1	3		(2) Northwestern	20	7	Michigan	0		1
Big Ten	1959-10-24	@	W	W 1	3		Minnesota	6	14	Michigan	0		2
Big Ten	1959-10-31		L	L 1	4		(10) Wisconsin	19	10	Michigan	0		2
Big Ten	1959-11-07	@	W	W 1	4		Illinois	15	20	Michigan	0		3
Big Ten	1959-11-14	@	L	L 1	5		Indiana	26	7	Michigan	0		3
Big Ten	1959-11-21		W	W 1	5		Ohio State	14	23	Michigan	0		4
Ind	1960-09-24		W	W 1	0		Oregon	0	21	Michigan	0		1
Big Ten	1960-10-01	@	L	L 1	1		Michigan State	24	17	Michigan	0		1
ACC	1960-10-08		W	W 1	1		Duke	6	31	Michigan	0		2
Big Ten	1960-10-15		W	W 2	1		Northwestern	7	14	Michigan	0		3
Big Ten	1960-10-22		L	L 1	2		(6) Minnesota	10	0	Michigan	0		3
Big Ten	1960-10-29	@	L	L 2	3		Wisconsin	16	13	Michigan	0		3
Big Ten	1960-11-05		W	W 1	3		Illinois	7	8	Michigan	0		4
Big Ten	1960-11-12		W	W 2	3		Indiana	7	29	Michigan	0		5
Big Ten	1960-11-19	@	L	L 1	4		(10) Ohio State	7	0	Michigan	0		5
AAWU	1961-09-30		W	W 1	0		(9) UCLA	6	29	Michigan	0		1
Ind	1961-10-07		W	W 2	0		Army	8	38	(9) Michigan	0		2
Big Ten	1961-10-14		L	L 1	1		(5) Michigan State	28	0	(6) Michigan	0		2
Big Ten	1961-10-21		W	W 1	1		Purdue	14	16	Michigan	0		3
Big Ten	1961-10-28	@	L	L 1	2		Minnesota	23	20	Michigan	0		3
ACC	1961-11-04		W	W 1	2		Duke	14	28	Michigan	0		4
Big Ten	1961-11-11	@	W	W 2	2		Illinois	6	38	Michigan	0		5
Big Ten	1961-11-18		W	W 3	2		Iowa	14	23	Michigan	0		6
Big Ten	1961-11-25		L	L 1	3		(2) Ohio State	50	20	Michigan	0		6
Big 8	1962-09-29		L	L 1	1		Nebraska	25	13	Michigan	0		0
Ind	1962-10-06		W	W 1	1		(10) Army	7	17	Michigan	0		1
Big Ten	1962-10-13	@	L	L 1	2		Michigan State	28	0	Michigan	0		1
Big Ten	1962-10-20	@	L	L 2	3		Purdue	37	0	Michigan	0		1
Big Ten	1962-10-27		L	L 3	4		Minnesota	17	0	Michigan	0		1
Big Ten	1962-11-03		L	L 4	5		Wisconsin	34	12	Michigan	0		1
Big Ten	1962-11-10		W	W 1	5		Illinois	10	14	Michigan	0		2
Big Ten	1962-11-17	@	L	L 1	6		Iowa	28	14	Michigan	0		2
Big Ten	1962-11-24	@	L	L 2	7		Ohio State	28	0	Michigan	0		2
SWC	1963-09-28		W	W 1	0		SMU	16	27	Michigan	0		1
Ind	1963-10-05		L	L 1	1		(6) Navy	26	13	Michigan	0		1
Big Ten	1963-10-12		T	T 1	1		Michigan State	7	7	Michigan	1		1
Big Ten	1963-10-19		L	L 1	2		Purdue	23	12	Michigan	1		1
Big Ten	1963-10-26	@	L	L 2	3		Minnesota	6	0	Michigan	1		1
Big Ten	1963-11-02		W	W 1	3		Northwestern	6	27	Michigan	1		2
Big Ten	1963-11-09	@	W	W 2	3		(2) Illinois	8	14	Michigan	1		3
Big Ten	1963-11-16		T	T 1	3		Iowa	21	21	Michigan	2		3
Big Ten	1963-11-30		L	L 1	4		Ohio State	14	10	Michigan	2		3
Ind	1964-09-26		W	W 1	0		Air Force	7	24	Michigan	0		1
Ind	1964-10-03		W	W 2	0		(6) Navy	0	21	(8) Michigan	0		2
Big Ten	1964-10-10	@	W	W 3	0		(9) Michigan State	10	17	(7) Michigan	0		3
Big Ten	1964-10-17		L	L 1	1		Purdue	21	20	(5) Michigan	0		3
Big Ten	1964-10-24		W	W 1	1		Minnesota	12	19	Michigan	0		4
Big Ten	1964-10-31		W	W 2	1		Northwestern	0	35	Michigan	0		5
Big Ten	1964-11-07		W	W 3	1		Illinois	6	21	Michigan	0		6
Big Ten	1964-11-14	@	W	W 4	1		Iowa	20	34	(6) Michigan	0		7
Big Ten	1964-11-21	@	W	W 5	1		(7) Ohio State	0	10	(6) Michigan	0		8
AAWU	1965-01-01	N	W	W 6	1	Rose Bowl (Rose Bowl (Pasadena, CA))	(8) Oregon State	7	34	(4) Michigan	0		9
ACC	1965-09-18	@	W	W 1	0		North Carolina	24	31	(4) Michigan	0		1
AAWU	1965-09-25		W	W 2	0		California	7	10	(4) Michigan	0		2
SEC	1965-10-02		L	L 1	1		(10) Georgia	15	7	(7) Michigan	0		2
Big Ten	1965-10-09		L	L 2	2		(5) Michigan State	24	7	Michigan	0		2
Big Ten	1965-10-16		L	L 3	3		(7) Purdue	17	15	Michigan	0		2
Big Ten	1965-10-23	@	L	L 4	4		Minnesota	14	13	Michigan	0		2
Big Ten	1965-10-30		W	W 1	4		Wisconsin	14	50	Michigan	0		3
Big Ten	1965-11-06	@	W	W 2	4		Illinois	3	23	Michigan	0		4
Big Ten	1965-11-13	@	L	L 1	5		Northwestern	34	22	Michigan	0		4
Big Ten	1965-11-20		L	L 2	6		Ohio State	9	7	Michigan	0		4
AAWU	1966-09-17		W	W 1	0		Oregon State	0	41	Michigan	0		1
AAWU	1966-09-24	@	W	W 2	0		California	7	17	(9) Michigan	0		2
ACC	1966-10-01		L	L 1	1		North Carolina	21	7	(8) Michigan	0		2
Big Ten	1966-10-08	@	L	L 2	2		(1) Michigan State	20	7	Michigan	0		2
Big Ten	1966-10-15		L	L 3	3		(9) Purdue	22	21	Michigan	0		2
Big Ten	1966-10-22		W	W 1	3		Minnesota	0	49	Michigan	0		3
Big Ten	1966-10-29	@	W	W 2	3		Wisconsin	17	28	Michigan	0		4
Big Ten	1966-11-05		L	L 1	4		Illinois	28	21	Michigan	0		4
Big Ten	1966-11-12		W	W 1	4		Northwestern	20	28	Michigan	0		5
Big Ten	1966-11-19	@	W	W 2	4		Ohio State	3	17	Michigan	0		6
ACC	1967-09-23		W	W 1	0		Duke	7	10	Michigan	0		1
AAWU	1967-09-30	@	L	L 1	1		California	10	9	Michigan	0		1
Ind	1967-10-07		L	L 2	2		Navy	26	21	Michigan	0		1
Big Ten	1967-10-14		L	L 3	3		Michigan State	34	0	Michigan	0		1
Big Ten	1967-10-21		L	L 4	4		Indiana	27	20	Michigan	0		1
Big Ten	1967-10-28	@	L	L 5	5		Minnesota	20	15	Michigan	0		1
Big Ten	1967-11-04		W	W 1	5		Northwestern	3	7	Michigan	0		2
Big Ten	1967-11-11	@	W	W 2	5		Illinois	14	21	Michigan	0		3
Big Ten	1967-11-18	@	W	W 3	5		Wisconsin	14	27	Michigan	0		4
Big Ten	1967-11-25		L	L 1	6		Ohio State	24	14	Michigan	0		4
Pac-8	1968-09-21		L	L 1	1		California	21	7	Michigan	0		0
ACC	1968-09-28	@	W	W 1	1		Duke	10	31	Michigan	0		1
Ind	1968-10-05		W	W 2	1		Navy	9	32	Michigan	0		2
Big Ten	1968-10-12		W	W 3	1		(12) Michigan State	14	28	Michigan	0		3
Big Ten	1968-10-19	@	W	W 4	1		(19) Indiana	22	27	(18) Michigan	0		4
Big Ten	1968-10-26		W	W 5	1		Minnesota	20	33	(12) Michigan	0		5
Big Ten	1968-11-02	@	W	W 6	1		Northwestern	0	35	(9) Michigan	0		6
Big Ten	1968-11-09		W	W 7	1		Illinois	0	36	(7) Michigan	0		7
